Trial,Optimizer,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Compression Factor,Time,Val Accuracy
4,Adam,3,relu,548,0.0002809828737182226,449,2.8309696377800913e-05,0.21692976117505386,1.0,44.87,53.23
5,Adam,6,selu,2654,0.00011434046994378559,179,0.00037195174312640056,0.1791054820416679,0.75,382.02,54.61
6,Adam,4,relu,1851,0.00014679491010327405,216,0.00016880290848120383,0.20149136779504845,1.0,162.69,55.37
7,Adam,4,gelu,794,0.0005302196666348603,73,0.0008437264517439883,0.1570307676940527,0.75,137.16,50.42
8,Adam,6,relu,2144,0.0006297560098269574,274,7.251186098556982e-05,0.19770929983483798,0.75,134.6,51.449999999999996
9,Adam,4,relu,800,0.0004479528055142064,202,2.3528584484714936e-05,0.1478878349713914,0.75,62.01,51.49
10,Adam,5,gelu,3521,0.000985646617031982,92,0.00015459644550309525,0.11756419191603978,0.5,237.81,51.4
11,Adam,6,elu,566,0.00014461325299056226,113,3.1189596755248877e-05,0.21311447607496992,0.5,93.77,53.169999999999995
12,Adam,5,tanh,2655,0.0008360693164907331,184,0.00035446617914964765,0.26428028596321634,1.0,182.15,17.02
13,Adam,6,tanh,521,0.0003706142613372255,75,2.6677999806205165e-05,0.13220320500020455,0.75,100.54,47.74
14,Adam,6,relu,2139,0.00015954740705693624,112,0.00015550639133106643,0.12839203461080556,0.5,148.0,54.87
15,Adam,5,relu,2212,0.0003155922887803858,200,3.0331835612552624e-05,0.14610951138626566,0.5,82.57,53.03
16,Adam,6,selu,812,0.000280574931979921,296,0.000306990381245416,0.18296168466035256,1.0,124.43,52.76
17,Adam,5,gelu,323,0.00021084897265477814,373,0.00011965482347276444,0.18790172405493905,0.5,62.19,54.02
18,Adam,3,relu,2587,0.00032376130078842053,90,0.0002212382491105228,0.1477314146093171,1.0,271.65,53.82
19,Adam,2,elu,861,0.0009327221873660114,119,0.00021438926929526246,0.22468653268685362,0.5,41.37,47.43
20,Adam,6,selu,815,0.00028844684647606235,136,0.0007238510816515685,0.2674970276192129,0.5,101.73,46.339999999999996
21,Adam,3,selu,3089,0.00022432103435945114,122,5.2580591506961916e-05,0.18734831093749255,1.0,228.14,52.88
22,Adam,5,relu,1141,0.0004558800420464797,477,1.2575696747740142e-05,0.1083602183969916,1.0,57.09,53.239999999999995
23,Adam,5,tanh,352,0.00028522902749816294,85,2.7839488491144462e-05,0.10207584661517238,1.0,92.5,52.61
24,Adam,2,relu,337,0.00022172351696264715,303,1.1048128037068683e-05,0.11428047708180258,0.5,42.9,50.36000000000001
25,Adam,5,gelu,1424,0.00034200960187014796,348,8.724936998533732e-05,0.13088242286631852,0.5,61.4,54.37
26,Adam,6,gelu,3508,0.00035326190432421176,207,0.00016151874909126713,0.2717955482865392,0.75,275.87,54.36
27,Adam,1,tanh,1380,0.0004185680919399729,107,7.610220500034622e-05,0.2942247010366982,0.5,99.3,48.42
28,Adam,2,tanh,1566,0.00018147456510875037,73,3.593920084555685e-05,0.13464901587417952,0.75,110.94,54.35
29,Adam,4,gelu,1396,0.00012992450607177846,447,1.7975008997672687e-05,0.12271945280925563,0.5,57.23,55.19
30,Adam,6,gelu,410,0.0006845228949860574,201,2.709835720395715e-05,0.25382114651238674,0.75,39.5,41.65
31,Adam,1,tanh,383,0.0004720489900344238,451,6.644394211896635e-05,0.23111736315342882,0.75,50.32,52.2
32,Adam,2,relu,1005,0.0002896998289153488,142,1.00567364783276e-05,0.16765352454129673,0.75,76.23,54.63
33,Adam,1,elu,1593,0.00022874753286566908,333,0.00040843848648412827,0.29109944633168017,0.75,83.26,49.55
34,Adam,2,selu,1530,0.000128142585990916,223,1.3814913779262367e-05,0.29866060914767756,0.75,123.26,54.2
35,Adam,3,selu,3797,0.00010777835593947007,200,0.00031667421508373963,0.13466643182802207,0.75,604.06,55.400000000000006
36,Adam,6,elu,3384,0.00034048880956293384,336,1.226851965638584e-05,0.1359006229758038,0.75,175.75,50.49
37,Adam,3,elu,3956,0.0005588064551529626,489,5.5686837624402044e-05,0.1519645224247153,0.5,145.96,53.63
38,Adam,4,relu,899,0.00012766857920835752,87,0.0008809007797171372,0.11597013326246917,1.0,118.84,54.11
39,Adam,3,tanh,613,0.00031714926015251956,257,0.00047050171838785535,0.1795221559505507,0.75,65.69,52.26
40,Adam,3,gelu,467,0.00039517441014472074,236,0.00020848460271884374,0.18814913087322346,0.5,66.87,54.25
41,Adam,5,relu,679,0.00014035047667048024,82,9.386691406926528e-05,0.1036104245863119,0.5,109.79,53.949999999999996
42,Adam,3,gelu,1806,0.0002491468474423617,509,0.00013638431500004046,0.1629775566144933,1.0,88.92,54.92
43,Adam,6,relu,4050,0.00013750557585312027,172,0.00021542636761533442,0.24695563652476363,0.5,284.36,54.75
44,Adam,1,tanh,519,0.0004023841919442359,75,7.426001182334853e-05,0.13569869573534424,1.0,104.4,50.349999999999994
45,Adam,5,elu,327,0.0002814406143171129,102,3.128097590345701e-05,0.11950000911270511,0.5,90.12,54.89000000000001
