Trial,Val_Accuracy,Layers,Activation,Initial neurons,Learning Rate,Batch Size,L2 Penalty,Dropout Rate,Time
19,50.92,4,elu,512,1.1417716068296805e-05,64,1.8514342765145185e-05,0.2200766894591485,266.27
20,49.220000000000006,1,relu,1536,0.0002317687931215819,64,0.002743341979594678,0.11723968156742992,112.47
21,40.22,2,selu,1024,0.00011153964361905355,64,0.005993751918223257,0.33188476304481596,96.31
22,39.18,1,tanh,512,0.00064144088286764,64,0.003510389605840231,0.1833073860288411,59.86
23,24.240000000000002,1,relu,1536,0.004888049217726737,96,0.007664399280755716,0.20838860353185085,41.13
24,34.07,4,elu,512,0.00048758425544854063,64,0.009511615277934538,0.27943419642501954,59.91
25,40.050000000000004,3,elu,1024,0.0010599228781176342,64,0.0005966563773712365,0.26427464193798,57.73
26,30.080000000000002,3,tanh,512,0.0014344102174586272,64,0.009306403747712513,0.10459247512537861,55.49
27,43.56,2,elu,1536,3.481553002025917e-05,64,0.0048970687928145745,0.43867050972734856,195.25
28,50.79,3,tanh,512,0.0002528641016367809,128,0.00013271981568101207,0.2930752982004404,88.45
29,53.080000000000005,1,relu,512,7.809216145943875e-05,96,0.00204480546247821,0.14266577596410923,141.34
30,26.279999999999998,2,elu,1536,0.003116890950917226,128,2.0102981323576844e-05,0.47228436219671077,30.78
31,45.94,1,gelu,1024,0.001341499983555526,128,8.166339777349061e-05,0.21959441529557133,48.07
32,45.51,1,tanh,1024,0.0008479345591196184,128,0.00011015224818877148,0.16411521739019014,52.5
33,54.31,3,relu,512,0.00011586851983016551,64,0.00010539553948747134,0.265923100308791,167.08
34,55.510000000000005,3,relu,1536,4.949765032821342e-05,64,0.00030950575268739967,0.4736460586940652,317.47
35,51.89,4,relu,1536,0.00011978421330742448,64,0.002049671881841021,0.2627553179710731,224.67
36,46.760000000000005,1,elu,512,7.306219687787594e-05,96,0.003888232648067673,0.21918486010375735,104.81
37,46.33,2,selu,512,4.905749027317385e-05,128,0.007234789151906329,0.14919481023642642,116.05
38,55.76,3,relu,1024,1.0788473914386932e-05,64,0.0006195513925188125,0.1514227069443572,309.56
39,52.019999999999996,3,gelu,1024,1.054285873342856e-05,96,0.0009276058052633728,0.24473393359178816,221.56
40,47.260000000000005,1,selu,1536,1.1254829988293601e-05,96,0.00017139344862899468,0.12032787540511558,226.08
41,27.860000000000003,2,relu,1536,0.00478723881578082,128,0.0001797495816613502,0.28101375303720705,66.0
42,32.86,1,tanh,1536,0.001670441495386336,128,0.00047438868567785663,0.45696501130286327,42.4
43,55.720000000000006,3,gelu,1536,2.909066827215957e-05,64,2.3900263718562072e-05,0.27808930480779415,226.71
44,51.32,3,elu,1024,0.00019696701363758115,96,0.0009393221190620989,0.11529009430939041,97.27
45,55.44,1,relu,1536,2.7666681268260087e-05,96,1.5558280668082528e-05,0.29946485017345836,227.35
46,55.2,4,relu,1536,3.896076229468848e-05,128,0.0006190254660205619,0.12131348470307222,143.86
47,48.42,2,tanh,512,4.330907743165774e-05,128,0.0014811412136044126,0.27054772403172644,149.28
48,40.400000000000006,1,gelu,1024,0.0012466842145988956,96,0.00012898756098567743,0.4273351589103327,36.78
49,10.0,4,tanh,1024,0.0027052908413059537,64,0.007196073350746936,0.14070163255082124,51.55
50,48.99,4,tanh,512,1.7328689174816032e-05,128,0.0008695744941545732,0.1472379140224597,165.42
51,52.7,4,relu,512,1.044275535690485e-05,96,0.00013824146682440335,0.25902955511970976,193.24
52,25.580000000000002,1,tanh,1024,0.0029653078792168533,128,0.00020172829882054354,0.2774424577118062,31.16
53,35.52,3,relu,512,0.0005135906689039498,128,0.0006032326191407597,0.4437315337244505,57.45
54,39.910000000000004,3,tanh,512,3.877511857113617e-05,64,0.006588977085239637,0.45376655054473247,189.45
55,33.489999999999995,4,selu,1024,0.0045175563960612505,128,0.00017090426415998332,0.15532425622691073,41.35
56,41.43,3,selu,1536,1.9642019586864932e-05,64,1.4154233785616966e-05,0.4598079814887869,106.38
57,10.0,2,tanh,1024,0.00589505764563126,64,0.0006772511815252853,0.4892629588699119,36.42
58,47.86,2,gelu,512,0.0003469600785590519,64,0.0016361863183136757,0.31595304797463825,114.65
59,51.09,4,gelu,1024,0.0006228013386027602,128,2.9447894579248045e-05,0.24129644498492914,84.85
60,42.89,1,elu,1024,0.0007129427207030951,64,0.003920991854287024,0.13181921082490275,86.5
61,43.88,1,tanh,512,2.6235798916732675e-05,128,1.0880668834802582e-05,0.4789634678075958,143.31
62,41.85,3,selu,1024,0.00014800419826368954,128,0.009489397701687973,0.1726612795651429,68.3
63,27.83,1,tanh,1024,0.0030650684066353103,128,0.0019670975142631673,0.1421476933775647,24.27
64,44.519999999999996,4,gelu,1536,0.001970918752638507,96,0.00010900973179555657,0.10700720969244092,83.62
65,25.06,4,elu,1024,0.002436338983594633,64,0.000669736292951624,0.21780472280282295,63.47
66,54.669999999999995,3,relu,512,9.566502408464823e-05,128,0.0002493660409730085,0.15443517614002317,82.21
67,45.71,2,tanh,512,2.2411626792575022e-05,64,0.00816832821008072,0.1533777843912069,229.25
68,24.08,2,gelu,1024,0.009611623623452277,128,1.0593758915228666e-05,0.24638736063691852,24.23
69,54.06999999999999,3,relu,512,2.398065257403818e-05,96,2.6098273358617612e-05,0.3507284386744066,152.09
